time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,9.6,93,5.1,2025-12-11,0,cold,7.739999999999999
2025-12-11 01:00:00,9.0,94,5.1,2025-12-11,1,cold,7.12
2025-12-11 02:00:00,8.4,95,5.2,2025-12-11,2,cold,6.5
2025-12-11 03:00:00,8.0,94,5.2,2025-12-11,3,cold,6.12
2025-12-11 04:00:00,7.6,94,5.2,2025-12-11,4,cold,5.72
2025-12-11 05:00:00,7.3,92,5.0,2025-12-11,5,cold,5.46
2025-12-11 06:00:00,7.1,92,5.2,2025-12-11,6,cold,5.26
2025-12-11 07:00:00,7.2,89,4.7,2025-12-11,7,cold,5.42
2025-12-11 08:00:00,8.4,84,5.0,2025-12-11,8,cold,6.720000000000001
2025-12-11 09:00:00,12.2,80,2.6,2025-12-11,9,mild,10.6
2025-12-11 10:00:00,16.7,61,3.1,2025-12-11,10,mild,15.479999999999999
2025-12-11 11:00:00,18.6,54,4.8,2025-12-11,11,mild,17.520000000000003
2025-12-11 12:00:00,20.0,54,6.6,2025-12-11,12,mild,18.92
2025-12-11 13:00:00,21.0,49,8.4,2025-12-11,13,warm,20.02
2025-12-11 14:00:00,21.5,46,9.0,2025-12-11,14,warm,20.58
2025-12-11 15:00:00,21.5,49,7.4,2025-12-11,15,warm,20.52
2025-12-11 16:00:00,20.8,52,4.6,2025-12-11,16,warm,19.76
2025-12-11 17:00:00,19.0,63,2.2,2025-12-11,17,mild,17.74
2025-12-11 18:00:00,17.8,65,3.3,2025-12-11,18,mild,16.5
2025-12-11 19:00:00,15.4,75,3.8,2025-12-11,19,mild,13.9
2025-12-11 20:00:00,13.1,86,4.9,2025-12-11,20,mild,11.379999999999999
2025-12-11 21:00:00,11.7,92,5.4,2025-12-11,21,mild,9.86
2025-12-11 22:00:00,10.9,94,5.1,2025-12-11,22,mild,9.02
2025-12-11 23:00:00,10.1,96,5.4,2025-12-11,23,mild,8.18
